"imei","source","package","os","language_group","language","country_group","country","first_token_trade_coin_pair","first_token_trade_chain_pair","first_nft_trade_token_title","first_connect_dapp","first_otc_fiat_code","airdrop_name","invite_code","red_packet_code","amt_usd","red_packet_amount","total_trade","version","red_packet_coin","red_packet_name","main_token_hold_usdt","future_total_trade","lately_login_ip","wallet_type","level_1_user_source","level_2_user_source","level_3_user_source","target","device_create_date"
"0017713d6bb603e5","unknown","com.bitkeep.wallet","android","not_main","id","南亚","印度尼西亚","null","null","null","null","null","null","null","null","0","0","0","8.15.0","null","null","0","0","114.79.19.198","0","其他","unknown","unknown","0","2024-05-12"
"0071702a60d4c000","unknown","com.bitkeep.w5","android","main","zh","中国","中国","null","null","null","smartmall.ai","null","null","null","null","39.9881335188","0","0","8.15.0","null","null","7.5808290574","0","113.17.192.180","0","其他","unknown","unknown","0","2024-05-12"
"008ff6ef3c985e67","unknown","com.bitkeep.wallet","android","main","en","南亚","孟加拉国","null","null","null","null","null","null","null","null","0","0","0","8.15.0","null","null","0","0","182.160.119.217","0","其他","unknown","unknown","0","2024-05-12"
"00937762dec772bf","unknown","com.bitkeep.wallet","android","not_main","de","欧美","德国","null","null","null","null","null","null","null","null","0","0","0","8.15.0","null","null","0","0","88.152.11.75","0","其他","unknown","unknown","1","2024-05-13"
"0099f28d851b710b","unknown","com.bitkeep.wallet","android","not_main","id","南亚","印度尼西亚","null","null","null","null","null","第11期 - BWB积分持有者专属福利","null","null","0","0","0","8.15.0","null","null","0","0","202.51.202.102","0","运营活动","第11期 - BWB积分持有者专属福利","地址收集","0","2024-05-12"
"00aeb17f2df06a9b","unknown","com.bitkeep.wallet","android","main","zh","中国","香港","null","null","null","null","null","null","null","null","0","0","0","8.15.0","null","null","0","0","171.22.194.49","4","其他","unknown","unknown","0","2024-05-12"
"00b9b36dfff23772","unknown","com.bitkeep.wallet","android","not_main","id","南亚","印度尼西亚","null","null","null","null","null","null","null","null","0","0","0","8.15.0","null","null","0","0","36.74.43.132","0","其他","unknown","unknown","1","2024-05-13"
"00de69301329e6a1","unknown","com.bitkeep.wallet","android","not_main","th","其他国家","泰国","null","null","null","share.bwb.site","null","第11期 - BWB积分持有者专属福利","null","null","0","0","0","8.15.0","null","null","0","0","184.22.148.127","4","运营活动","第11期 - BWB积分持有者专属福利","地址收集","0","2024-05-12"
"00e617e115f0168b","unknown","com.bitkeep.app","android","main","zh","中国","中国","null","null","null","null","null","null","null","null","0","0","0","8.15.0","null","null","0","0","58.254.236.83","0","邀请","channel package","invite2","0","2024-05-12"
"013144cc462f11ff","unknown","com.bitkeep.wallet","android","main","en","南亚","巴基斯坦","null","null","null","null","null","null","null","null","0","0","0","8.15.0","null","null","0","0","37.111.175.183","0","其他","unknown","unknown","1","2024-05-13"
"015879d6e12a474b","unknown","com.bitkeep.wallet","android","not_main","vi","南亚","越南","null","null","null","null","null","null","P44QCv","null","0","0","0","8.15.0","null","null","0","0","113.185.77.119","0","邀请","invite_code","P44QCv","1","2024-05-13"
"018ce7d431cef5172b60b3ee2d290908","unknown","com.bitkeep.chrome","chrome","main","en","欧美","美国","null","null","null","null","null","null","null","null","0","0","0","1.4.2","null","null","0","0","161.123.151.250","0","其他","unknown","unknown","0","2024-05-12"
"019f35630943ef7a37ef8d112f5d4ffd","unknown","com.bitkeep.chrome","chrome","main","en","欧美","美国","null","null","null","null","null","null","null","null","0","0","0","1.4.2","null","null","0","0","161.123.215.54","0","其他","unknown","unknown","0","2024-05-12"
"01b0098594d3caa5","unknown","com.bitkeep.app","android","main","zh","中国","新加坡","null","null","null","meta-force.space","null","null","null","null","1.9463525704","0","0","8.15.0","null","null","1.9463525704","0","103.43.162.221","0","邀请","channel package","invite2","1","2024-05-13"
"01bc53665f17bc72de208bc4f13d4dea","unknown","com.bitkeep.chrome","chrome","main","en","欧美","美国","null","null","null","null","null","null","null","null","0","0","0","1.4.2","null","null","0","0","161.123.151.89","0","其他","unknown","unknown","0","2024-05-12"
"01c5b8b4cf8e8c71","unknown","com.bitkeep.wallet","android","not_main","ru","欧美","俄罗斯联邦","null","null","null","null","null","null","null","null","0","0","0","8.15.0","null","null","0","0","62.217.191.246","0","其他","unknown","unknown","1","2024-05-13"
"0201830958c1651e","unknown","com.bitkeep.wallet","android","main","en","南亚","巴基斯坦","null","null","null","null","null","null","null","null","0","0","0","8.15.0","null","null","0","0","103.26.83.131","4","其他","unknown","unknown","1","2024-05-13"
"02031bbb6d0b3808","unknown","com.bitkeep.wallet","android","not_main","fa","欧美","德国","null","null","null","null","null","null","null","null","0","0","0","8.15.0","null","null","0","0","49.12.211.3","0","其他","unknown","unknown","1","2024-05-13"
"021a3dcf43f7b02b","unknown","com.bitkeep.app","android","main","zh","中国","中国","null","null","null","null","null","null","null","null","75","0","0","8.15.0","null","null","75","0","117.136.73.248","0","邀请","channel package","invite","1","2024-05-13"
"0250d3369b63fb96","unknown","com.bitkeep.wallet","android","main","en","南亚","孟加拉国","null","null","null","null","null","null","null","null","0","0","0","8.15.0","null","null","0","0","103.139.178.8","0","其他","unknown","unknown","1","2024-05-13"
"026797efe83941d9","unknown","com.bitkeep.wallet","android","main","en","欧美","美国","null","null","null","null","null","null","null","null","0","0","0","8.15.0","null","null","0","0","174.106.68.47","0","其他","unknown","unknown","0","2024-05-12"
"02833566edc594e6","unknown","com.bitkeep.wallet","android","not_main","th","其他国家","泰国","null","null","null","null","null","null","null","null","0","0","0","8.15.0","null","null","0","0","1.10.130.240","0","其他","unknown","unknown","0","2024-05-12"
"029ea93df9a6f1f9","unknown","com.bitkeep.wallet","android","not_main","fr","其他国家","科特迪瓦","null","null","null","null","null","null","null","null","0","0","0","8.15.0","null","null","0","0","160.154.60.69","0","其他","unknown","unknown","1","2024-05-13"
"02b0ecaf57e01178","unknown","com.bitkeep.wallet","android","not_main","id","南亚","印度尼西亚","null","null","null","null","null","BitgetSwap","null","null","0","0","0","8.15.0","null","null","0","0","103.153.63.31","0","运营活动","BitgetSwap","地址收集","0","2024-05-12"
"02cb321b2f67ced1","unknown","com.bitkeep.app","android","main","zh","中国","中国","null","null","null","null","null","null","null","null","0","0","0","8.14.1","null","null","0","0","182.90.206.116","0","其他","unknown","unknown","0","2024-05-12"
"02d91c01ddd1c998","unknown","com.bitkeep.wallet","android","not_main","id","南亚","印度尼西亚","null","null","null","null","null","null","null","null","0","0","0","8.15.0","null","null","0","0","140.213.36.249","4","其他","unknown","unknown","0","2024-05-12"
"02dc0cd1ad0f5896","unknown","com.bitkeep.wallet","android","main","en","南亚","巴基斯坦","null","null","null","claims.eigenfoundation.org","null","GetDrop第1期- MOEW","null","null","0","0","0","8.15.0","null","null","0","0","14.1.104.92","4","运营活动","GetDrop第1期- MOEW","地址收集","1","2024-05-13"
"02e5fc1422007a3fb136807fa02bb963","unknown","com.bitkeep.chrome","chrome","main","en","欧美","美国","null","null","null","null","null","null","null","null","0","0","0","1.4.2","null","null","0","0","161.123.208.136","0","其他","unknown","unknown","1","2024-05-13"
"02f75d30591a1d4b6269746b656570350a2eae1a97de31","unknown","com.bitkeep.chrome","chrome","main","en","南亚","越南","null","null","null","null","null","null","null","null","0","0","0","2.9.0","null","null","0","0","113.160.235.60","0","其他","unknown","unknown","1","2024-05-13"
"03015e88cce25826bfb9123ab1e2927a","unknown","com.bitkeep.chrome","chrome","main","en","欧美","美国","null","null","null","null","null","null","null","null","0","0","0","1.4.2","null","null","0","0","161.123.151.173","0","其他","unknown","unknown","1","2024-05-13"
"03052d69ba07631f","unknown","com.bitkeep.wallet","android","not_main","id","南亚","印度尼西亚","null","null","null","null","null","null","null","null","0","0","0","8.15.0","null","null","0","0","114.10.18.221","4","其他","unknown","unknown","0","2024-05-12"
"030fef2082da02ec","unknown","com.bitkeep.wallet","android","main","en","南亚","印度","null","null","null","null","null","null","null","null","0","0","0","8.15.0","null","null","0","0","117.99.221.24","0","其他","unknown","unknown","1","2024-05-13"
"0312f9e8618228d1","unknown","com.bitkeep.wallet","android","main","en","南亚","巴基斯坦","null","null","null","null","null","null","null","null","0","0","0","8.15.0","null","null","0","0","59.103.59.25","0","其他","unknown","unknown","1","2024-05-13"
"035c8986c9be6228b01c6741e70cec77","unknown","com.bitkeep.chrome","chrome","main","en","欧美","美国","null","null","null","null","null","null","null","null","0","0","0","1.4.2","null","null","0","0","161.123.208.63","0","其他","unknown","unknown","0","2024-05-12"
"03882b6bb2ea1f3c","unknown","com.bitkeep.w5","android","main","zh","中国","中国","null","null","null","null","null","null","null","null","0","0","0","8.15.0","null","null","0","0","111.55.13.114","0","其他","unknown","unknown","0","2024-05-12"
"03d327cd1cef7f0d84ac59d6006c5b6c","unknown","com.bitkeep.chrome","chrome","main","en","欧美","美国","null","null","null","null","null","null","null","null","0","0","0","1.4.2","null","null","0","0","161.123.208.248","0","其他","unknown","unknown","1","2024-05-13"
"041bb452731dc81c","unknown","com.bitkeep.app","android","main","zh","中国","中国","null","null","null","meta-force.space","null","null","null","null","3.2078511861","0","0","8.15.0","null","null","3.2078511861","0","1.207.130.223","0","邀请","channel package","invite2","1","2024-05-13"
"0458461d1108a454","unknown","com.bitkeep.wallet","android","not_main","ru","其他国家","哈萨克斯坦","null","null","null","null","null","null","null","null","0","0","0","8.15.0","null","null","0","0","37.150.63.134","0","其他","unknown","unknown","0","2024-05-12"
