node_index,split_feature_indx,split_feature,threshold,decision_type,left_child,right_child,leaf_value,thres_vis,condition,conditions,2024-05-11,2024-05-12,ratio
0,0,trade_amt,388943.6703500001,<=,1,2,,,trade_amt <= 388943.6703500001,,42358711.654729605,20084696.970352337,1.0
1,0,trade_amt,104567.53450000002,<=,3,4,,,trade_amt <= 104567.53450000002,trade_amt <= 388943.6703500001,24672492.6329296,14747626.81825234,0.44558046473940977
2.0,,,,,,,193363.6897276066,,,~(trade_amt <= 388943.6703500001),17686219.021800004,5337070.1521000005,0.5544195352605901
3,0,trade_amt,23563.36975,<=,7,8,,,trade_amt <= 23563.36975,trade_amt <= 388943.6703500001 & trade_amt <= 104567.53450000002,13050575.795929601,8484802.41585234,0.2049820584557503
4,0,trade_amt,188271.19980000003,<=,9,10,,,trade_amt <= 188271.19980000003,trade_amt <= 388943.6703500001 & ~(trade_amt <= 104567.53450000002),11621916.837,6262824.4024,0.2405984062836595
7,0,trade_amt,5248.867955000001,<=,15,16,,,trade_amt <= 5248.867955000001,trade_amt <= 388943.6703500001 & trade_amt <= 104567.53450000002 & trade_amt <= 23563.36975,3848034.0691796,2902187.55375234,0.042464123725781046
8,0,trade_amt,51686.75600000001,<=,17,18,,,trade_amt <= 51686.75600000001,trade_amt <= 388943.6703500001 & trade_amt <= 104567.53450000002 & ~(trade_amt <= 23563.36975),9202541.72675,5582614.8621,0.16251793472996917
9,0,trade_amt,157324.26985,<=,19,20,,,trade_amt <= 157324.26985,trade_amt <= 388943.6703500001 & ~(trade_amt <= 104567.53450000002) & trade_amt <= 188271.19980000003,6514937.599899999,3047541.4194999994,0.15567001411882836
10.0,,,,,,,71411.79445968993,,,trade_amt <= 388943.6703500001 & ~(trade_amt <= 104567.53450000002) & ~(trade_amt <= 188271.19980000003),5106979.2371000005,3215282.9829,0.08492839216483115
15,0,trade_amt,1341.0090000000002,<=,31,32,,,trade_amt <= 1341.0090000000002,trade_amt <= 388943.6703500001 & trade_amt <= 104567.53450000002 & trade_amt <= 23563.36975 & trade_amt <= 5248.867955000001,2255554.0596890002,1918282.54320884,0.015141927544688136
16,0,trade_amt,12305.562325000003,<=,33,34,,,trade_amt <= 12305.562325000003,trade_amt <= 388943.6703500001 & trade_amt <= 104567.53450000002 & trade_amt <= 23563.36975 & ~(trade_amt <= 5248.867955000001),1592480.0094906,983905.0105434998,0.027322196181092922
17,0,trade_amt,40620.40480000001,<=,35,36,,,trade_amt <= 40620.40480000001,trade_amt <= 388943.6703500001 & trade_amt <= 104567.53450000002 & ~(trade_amt <= 23563.36975) & trade_amt <= 51686.75600000001,6497434.8456500005,3753085.3465,0.12320857007761851
18,0,trade_amt,71339.88060000002,<=,37,38,,,trade_amt <= 71339.88060000002,trade_amt <= 388943.6703500001 & trade_amt <= 104567.53450000002 & ~(trade_amt <= 23563.36975) & ~(trade_amt <= 51686.75600000001),2705106.8811,1829529.5156,0.03930936465235069
19.0,,,,,,,37151.04991468394,,,trade_amt <= 388943.6703500001 & ~(trade_amt <= 104567.53450000002) & trade_amt <= 188271.19980000003 & trade_amt <= 157324.26985,2558256.7595999995,1418346.7931,0.051176673026956346
20.0,,,,,,,49838.392884694906,,,trade_amt <= 388943.6703500001 & ~(trade_amt <= 104567.53450000002) & trade_amt <= 188271.19980000003 & ~(trade_amt <= 157324.26985),3956680.8403000003,1629194.6264,0.10449334109187204
31,0,trade_amt,447.52258250000006,<=,63,64,,,trade_amt <= 447.52258250000006,trade_amt <= 388943.6703500001 & trade_amt <= 104567.53450000002 & trade_amt <= 23563.36975 & trade_amt <= 5248.867955000001 & trade_amt <= 1341.0090000000002,1001219.1665588,867605.9808797401,0.005998612624278041
32,0,trade_amt,2867.1125000000006,<=,65,66,,,trade_amt <= 2867.1125000000006,trade_amt <= 388943.6703500001 & trade_amt <= 104567.53450000002 & trade_amt <= 23563.36975 & trade_amt <= 5248.867955000001 & ~(trade_amt <= 1341.0090000000002),1254334.8931302,1050676.5623291,0.009143314920410085
33,0,trade_amt,8162.22814265,<=,67,68,,,trade_amt <= 8162.22814265,trade_amt <= 388943.6703500001 & trade_amt <= 104567.53450000002 & trade_amt <= 23563.36975 & ~(trade_amt <= 5248.867955000001) & trade_amt <= 12305.562325000003,847932.2444085,633849.3462031,0.009611329669974368
